,obj_name,field_name,flag,xpix,ypix
0,NDWFS_J142535.2+324932,NDWFSJ1426p3236,1.0,5659.999767821766,7329.000133425343
1,NDWFS_J142522.3+325422,NDWFSJ1426p3236,1.0,6272.9996800669,8461.999522697628
2,NDWFS_J142516.6+324335,NDWFSJ1426p3236,1.0,6590.999691307537,5958.000553057485
3,NDWFS_J142710.3+324841,NDWFSJ1426p3236,1.0,1012.9996937308642,7065.0004901649045
4,NDWFS_J142548.3+322957,NDWFSJ1426p3236,1.0,5091.000330731949,2758.00005722644
5,NDWFS_J142449.7+324744,NDWFSJ1426p3236,1.0,7892.999553329446,6942.99968324868
6,NDWFS_J142729.9+325510,NDWFSJ1426p3236,1.0,35.00021226755598,8562.999906928333
7,NDWFS_J142708.1+324450,NDWFSJ1426p3236,1.0,1129.0002892446682,6172.999918511941
8,NDWFS_J142703.5+324507,NDWFSJ1426p3236,1.0,1355.0005330877375,6241.000269793411
9,NDWFS_J142717.4+324524,NDWFSJ1426p3236,1.0,675.0000373804505,6297.99955087233
10,NDWFS_J142653.7+324808,NDWFSJ1426p3236,1.0,1825.00006537572,6948.999489442271
11,NDWFS_J142716.3+325136,NDWFSJ1426p3236,1.0,713.9996004911973,7741.999496261204
12,NDWFS_J142555.9+324547,NDWFSJ1426p3236,1.0,4659.999666055766,6437.9994560417945
13,NDWFS_J142600.8+324629,NDWFSJ1426p3236,1.0,4416.999728416769,6596.999572189481
14,NDWFS_J142607.1+324646,NDWFSJ1426p3236,1.0,4112.999944867501,6661.000020220919
15,NDWFS_J142541.8+324840,NDWFSJ1426p3236,1.0,5341.999684902865,7120.999421821936
16,NDWFS_J142451.0+324910,NDWFSJ1426p3236,1.0,7823.000566585382,7278.000529790228
17,NDWFS_J142445.8+324949,NDWFSJ1426p3236,1.0,8071.999438253148,7431.99970772141
18,NDWFS_J142454.1+325239,NDWFSJ1426p3236,1.0,7654.999469813782,8084.999489512407
19,NDWFS_J142644.9+323206,NDWFSJ1426p3236,1.0,2304.9999275426107,3219.000256303134
20,NDWFS_J142718.1+323854,NDWFSJ1426p3236,1.0,661.000003635263,4786.999679370103
21,NDWFS_J142532.9+323116,NDWFSJ1426p3236,1.0,5840.999662271046,3074.999515423031
22,NDWFS_J142511.1+324123,NDWFSJ1426p3236,1.0,6869.000279067212,5447.99977876091
23,NDWFS_J142713.0+322717,NDWFSJ1426p3236,1.0,943.0001561872888,2088.000375874806
24,NDWFS_J142706.5+322744,NDWFSJ1426p3236,1.0,1256.9994795574912,2188.9997114253893
25,NDWFS_J142602.3+322716,NDWFSJ1426p3236,1.0,4416.0005163284,2123.00019559493
26,NDWFS_J142518.3+322235,NDWFSJ1426p3236,1.0,6591.999857390125,1066.9995347093463
27,NDWFS_J142507.1+322835,NDWFSJ1426p3236,1.0,7118.00034731437,2472.99984059939
28,NDWFS_J142530.4+321827,NDWFSJ1426p3236,0.0,6012.000102305836,94.99946723554967
29,NDWFS_J142603.8+324802,NDWFSJ1426p3236,0.0,4265.000354369033,6956.000088935405
30,NDWFS_J142704.8+322817,NDWFSJ1426p3236,0.0,1344.0005145652483,2318.000064094005
31,NDWFS_J142519.4+323532,NDWFSJ1426p3236,0.0,6488.99962612012,4080.000372340324
32,NDWFS_J142723.5+324904,NDWFSJ1426p3236,0.0,369.0002665874854,7149.000467850641
33,NDWFS_J142555.0+324317,NDWFSJ1426p3236,0.0,4715.999676255022,5857.0004741951525
34,NDWFS_J142442.7+323325,NDWFSJ1426p3236,0.0,8295.00019368359,3617.999633156207
35,NDWFS_J142443.8+322813,NDWFSJ1426p3236,0.0,8264.00010475448,2403.999840872002
36,NDWFS_J142549.7+322148,NDWFSJ1426p3236,0.0,5051.999744534136,860.9997872812128
37,NDWFS_J142458.6+323002,NDWFSJ1426p3236,0.0,7528.000263718706,2818.0002167184502
38,NDWFS_J142438.3+323836,NDWFSJ1426p3236,0.0,8483.000389021392,4841.000235194926
39,NDWFS_J142659.4+322727,NDWFSJ1426p3236,0.0,1608.0000859718675,2129.999770691651
40,NDWFS_J142626.1+324559,NDWFSJ1426p3236,0.0,3184.000081209404,6462.999930150447
41,NDWFS_J142438.6+324058,NDWFSJ1426p3236,0.0,8461.000041426156,5376.9998146792495
42,NDWFS_J142500.9+325500,NDWFSJ1426p3236,0.0,7315.000489818452,8627.000459269595
