obj_name,field_name,flag,xpix,ypix,RA,DEC
NDWFS_J142535.2+324932,NDWFSJ1426p3236,1.0,5659.999767821766,7329.000133425343,216.3969016,32.8258449
NDWFS_J142522.3+325422,NDWFSJ1426p3236,1.0,6272.9996800669,8461.999522697628,216.3430807,32.90627229999999
NDWFS_J142516.6+324335,NDWFSJ1426p3236,1.0,6590.999691307537,5958.000553057485,216.3195418,32.72664989999998
NDWFS_J142710.3+324841,NDWFSJ1426p3236,1.0,1012.9996937308642,7065.0004901649045,216.7931653,32.81144129999999
NDWFS_J142548.3+322957,NDWFSJ1426p3236,1.0,5091.000330731949,2758.00005722644,216.4514025,32.49925989999999
NDWFS_J142449.7+324744,NDWFSJ1426p3236,1.0,7892.999553329446,6942.99968324868,216.2072581,32.79560849999999
NDWFS_J142729.9+325510,NDWFSJ1426p3236,-999.0,35.00021226755598,8562.999906928333,216.8750611,32.91949869999998
NDWFS_J142708.1+324450,NDWFSJ1426p3236,1.0,1129.0002892446682,6172.999918511941,216.7842073,32.74747630000002
NDWFS_J142703.5+324507,NDWFSJ1426p3236,1.0,1355.0005330877375,6241.000269793411,216.7648929,32.7521541
NDWFS_J142717.4+324524,NDWFSJ1426p3236,1.0,675.0000373804505,6297.99955087233,216.8227382,32.75680089999999
NDWFS_J142653.7+324808,NDWFSJ1426p3236,1.0,1825.00006537572,6948.999489442271,216.7241032,32.802439599999985
NDWFS_J142716.3+325136,NDWFSJ1426p3236,1.0,713.9996004911973,7741.999496261204,216.8179593,32.86016469999999
NDWFS_J142555.9+324547,NDWFSJ1426p3236,1.0,4659.999666055766,6437.9994560417945,216.4832542,32.7631293
NDWFS_J142600.8+324629,NDWFSJ1426p3236,1.0,4416.999728416769,6596.999572189481,216.5037417,32.774763899999975
NDWFS_J142607.1+324646,NDWFSJ1426p3236,1.0,4112.999944867501,6661.000020220919,216.5295492,32.77965589999997
NDWFS_J142541.8+324840,NDWFSJ1426p3236,1.0,5341.999684902865,7120.999421821936,216.424274,32.81130129999999
NDWFS_J142451.0+324910,NDWFSJ1426p3236,1.0,7823.000566585382,7278.000529790228,216.21271079999997,32.81967499999998
